Date,Lst Trd/Lst Prxx,Time,Trading Day,Closing,Relative Closing,Weekday,Relative Time,,,,,,,,,
9/22/2025 19:55,104-08?,7:55:00 PM,9/22/2025,104.25,-0.00390625,Monday,1:55:00 AM,,,,,,,,,
9/22/2025 20:00,104-08?,8:00:00 PM,9/22/2025,104.25,-0.00390625,Monday,2:00:00 AM,,,,,,,,,
9/22/2025 20:10,104-08?,8:10:00 PM,9/22/2025,104.25,-0.00390625,Monday,2:10:00 AM,,,,,,,,,
9/22/2025 20:15,104-08?,8:15:00 PM,9/22/2025,104.25,-0.00390625,Monday,2:15:00 AM,,,,,,,,,
9/22/2025 20:20,104-08?,8:20:00 PM,9/22/2025,104.25,-0.00390625,Monday,2:20:00 AM,,,,,,,,,
9/22/2025 20:25,104-08,8:25:00 PM,9/22/2025,104.25,-0.0078125,Monday,2:25:00 AM,,,,,,,,,
9/22/2025 20:30,104-08?,8:30:00 PM,9/22/2025,104.25,-0.00390625,Monday,2:30:00 AM,,,,,,,,,
9/22/2025 20:35,104-08¼,8:35:00 PM,9/22/2025,104.26,0,Monday,2:35:00 AM,,,,,,,,,
9/22/2025 20:40,104-08¼,8:40:00 PM,9/22/2025,104.26,0,Monday,2:40:00 AM,,,,,,,,,
9/22/2025 20:45,104-08¼,8:45:00 PM,9/22/2025,104.26,0,Monday,2:45:00 AM,,,,,,,,,
9/22/2025 20:55,104-08¼,8:55:00 PM,9/22/2025,104.26,0,Monday,2:55:00 AM,,,,,,,,,
9/22/2025 21:00,104-08¼,9:00:00 PM,9/22/2025,104.26,0,Monday,3:00:00 AM,,,,,,,,,
9/22/2025 21:05,104-08?,9:05:00 PM,9/22/2025,104.26,0.00390625,Monday,3:05:00 AM,,,,,,,,,
9/22/2025 21:15,104-08?,9:15:00 PM,9/22/2025,104.25,-0.00390625,Monday,3:15:00 AM,,,,,,,,,
9/22/2025 21:20,104-08¼,9:20:00 PM,9/22/2025,104.26,0,Monday,3:20:00 AM,,,,,,,,,
9/22/2025 21:25,104-08¼,9:25:00 PM,9/22/2025,104.26,0,Monday,3:25:00 AM,,,,,,,,,
9/22/2025 21:30,104-08¼,9:30:00 PM,9/22/2025,104.26,0,Monday,3:30:00 AM,,,,,,,,,
9/22/2025 21:35,104-08?,9:35:00 PM,9/22/2025,104.26,0.00390625,Monday,3:35:00 AM,,,,,,,,,
9/22/2025 21:40,104-08?,9:40:00 PM,9/22/2025,104.26,0.00390625,Monday,3:40:00 AM,,,,,,,,,
9/22/2025 21:45,104-08?,9:45:00 PM,9/22/2025,104.26,0.00390625,Monday,3:45:00 AM,,,,,,,,,
9/22/2025 21:50,104-08?,9:50:00 PM,9/22/2025,104.26,0.00390625,Monday,3:50:00 AM,,,,,,,,,
9/22/2025 21:55,104-08?,9:55:00 PM,9/22/2025,104.26,0.00390625,Monday,3:55:00 AM,,,,,,,,,
9/22/2025 22:00,104-08?,10:00:00 PM,9/22/2025,104.26,0.00390625,Monday,4:00:00 AM,,,,,,,,,
9/22/2025 22:05,104-08?,10:05:00 PM,9/22/2025,104.26,0.00390625,Monday,4:05:00 AM,,,,,,,,,
9/22/2025 22:10,104-08?,10:10:00 PM,9/22/2025,104.26,0.00390625,Monday,4:10:00 AM,,,,,,,,,
9/22/2025 22:20,104-08¼,10:20:00 PM,9/22/2025,104.26,0,Monday,4:20:00 AM,,,,,,,,,
9/22/2025 22:25,104-08¼,10:25:00 PM,9/22/2025,104.26,0,Monday,4:25:00 AM,,,,,,,,,
9/22/2025 22:35,104-08¼,10:35:00 PM,9/22/2025,104.26,0,Monday,4:35:00 AM,,,,,,,,,
9/22/2025 22:40,104-08¼,10:40:00 PM,9/22/2025,104.26,0,Monday,4:40:00 AM,,,,,,,,,
9/22/2025 22:45,104-08¼,10:45:00 PM,9/22/2025,104.26,0,Monday,4:45:00 AM,,,,,,,,,
9/22/2025 22:50,104-08?,10:50:00 PM,9/22/2025,104.25,-0.00390625,Monday,4:50:00 AM,,,,,,,,,
9/22/2025 22:55,104-08,10:55:00 PM,9/22/2025,104.25,-0.0078125,Monday,4:55:00 AM,,,,,,,,,
9/22/2025 23:00,104-08,11:00:00 PM,9/22/2025,104.25,-0.0078125,Monday,5:00:00 AM,,,,,,,,,
9/22/2025 23:05,104-07?,11:05:00 PM,9/22/2025,104.25,-0.01171875,Monday,5:05:00 AM,,,,,,,,,
9/22/2025 23:10,104-07?,11:10:00 PM,9/22/2025,104.25,-0.01171875,Monday,5:10:00 AM,,,,,,,,,
9/22/2025 23:15,104-07¾,11:15:00 PM,9/22/2025,104.24,-0.015625,Monday,5:15:00 AM,,,,,,,,,
9/22/2025 23:20,104-07¾,11:20:00 PM,9/22/2025,104.24,-0.015625,Monday,5:20:00 AM,,,,,,,,,
9/22/2025 23:25,104-07?,11:25:00 PM,9/22/2025,104.25,-0.01171875,Monday,5:25:00 AM,,,,,,,,,
9/22/2025 23:30,104-07?,11:30:00 PM,9/22/2025,104.25,-0.01171875,Monday,5:30:00 AM,,,,,,,,,
9/22/2025 23:35,104-07?,11:35:00 PM,9/22/2025,104.25,-0.01171875,Monday,5:35:00 AM,,,,,,,,,
9/22/2025 23:40,104-08,11:40:00 PM,9/22/2025,104.25,-0.0078125,Monday,5:40:00 AM,,,,,,,,,
9/22/2025 23:45,104-08,11:45:00 PM,9/22/2025,104.25,-0.0078125,Monday,5:45:00 AM,,,,,,,,,
9/22/2025 23:50,104-08?,11:50:00 PM,9/22/2025,104.25,-0.00390625,Monday,5:50:00 AM,,,,,,,,,
9/23/2025 0:10,104-08,12:10:00 AM,9/22/2025,104.25,-0.0078125,Monday,6:10:00 AM,,,,,,,,,
9/23/2025 0:15,104-08?,12:15:00 AM,9/22/2025,104.25,-0.00390625,Monday,6:15:00 AM,,,,,,,,,
9/23/2025 0:20,104-08,12:20:00 AM,9/22/2025,104.25,-0.0078125,Monday,6:20:00 AM,,,,,,,,,
9/23/2025 0:25,104-08?,12:25:00 AM,9/22/2025,104.25,-0.00390625,Monday,6:25:00 AM,,,,,,,,,
9/23/2025 0:30,104-08?,12:30:00 AM,9/22/2025,104.25,-0.00390625,Monday,6:30:00 AM,,,,,,,,,
9/23/2025 0:35,104-08?,12:35:00 AM,9/22/2025,104.25,-0.00390625,Monday,6:35:00 AM,,,,,,,,,
9/23/2025 0:40,104-08¼,12:40:00 AM,9/22/2025,104.26,0,Monday,6:40:00 AM,,,,,,,,,
9/23/2025 0:50,104-08?,12:50:00 AM,9/22/2025,104.25,-0.00390625,Monday,6:50:00 AM,,,,,,,,,
9/23/2025 0:55,104-08?,12:55:00 AM,9/22/2025,104.25,-0.00390625,Monday,6:55:00 AM,,,,,,,,,
9/23/2025 1:00,104-08?,1:00:00 AM,9/22/2025,104.25,-0.00390625,Monday,7:00:00 AM,,,,,,,,,
9/23/2025 1:05,104-08?,1:05:00 AM,9/22/2025,104.25,-0.00390625,Monday,7:05:00 AM,,,,,,,,,
9/23/2025 1:10,104-08?,1:10:00 AM,9/22/2025,104.25,-0.00390625,Monday,7:10:00 AM,,,,,,,,,
9/23/2025 1:15,104-08?,1:15:00 AM,9/22/2025,104.25,-0.00390625,Monday,7:15:00 AM,,,,,,,,,
9/23/2025 1:20,104-08¼,1:20:00 AM,9/22/2025,104.26,0,Monday,7:20:00 AM,,,,,,,,,
9/23/2025 1:25,104-08¼,1:25:00 AM,9/22/2025,104.26,0,Monday,7:25:00 AM,,,,,,,,,
9/23/2025 1:30,104-08¼,1:30:00 AM,9/22/2025,104.26,0,Monday,7:30:00 AM,,,,,,,,,
9/23/2025 1:35,104-08¼,1:35:00 AM,9/22/2025,104.26,0,Monday,7:35:00 AM,,,,,,,,,
9/23/2025 1:40,104-08¼,1:40:00 AM,9/22/2025,104.26,0,Monday,7:40:00 AM,,,,,,,,,
9/23/2025 1:45,104-08¼,1:45:00 AM,9/22/2025,104.26,0,Monday,7:45:00 AM,,,,,,,,,
9/23/2025 1:50,104-08?,1:50:00 AM,9/22/2025,104.26,0.00390625,Monday,7:50:00 AM,,,,,,,,,
9/23/2025 1:55,104-08?,1:55:00 AM,9/22/2025,104.25,-0.00390625,Monday,7:55:00 AM,,,,,,,,,
9/23/2025 2:00,104-08,2:00:00 AM,9/22/2025,104.25,-0.0078125,Monday,8:00:00 AM,,,,,,,,,
9/23/2025 2:05,104-08?,2:05:00 AM,9/22/2025,104.25,-0.00390625,Monday,8:05:00 AM,,,,,,,,,
9/23/2025 2:10,104-08¼,2:10:00 AM,9/22/2025,104.26,0,Monday,8:10:00 AM,,,,,,,,,
9/23/2025 2:15,104-08?,2:15:00 AM,9/22/2025,104.26,0.00390625,Monday,8:15:00 AM,,,,,,,,,
9/23/2025 2:20,104-08?,2:20:00 AM,9/22/2025,104.26,0.00390625,Monday,8:20:00 AM,,,,,,,,,
9/23/2025 2:25,104-08+,2:25:00 AM,9/22/2025,104.27,0.0078125,Monday,8:25:00 AM,,,,,,,,,
9/23/2025 2:30,104-08+,2:30:00 AM,9/22/2025,104.27,0.0078125,Monday,8:30:00 AM,,,,,,,,,
9/23/2025 2:35,104-08?,2:35:00 AM,9/22/2025,104.26,0.00390625,Monday,8:35:00 AM,,,,,,,,,
9/23/2025 2:40,104-08?,2:40:00 AM,9/22/2025,104.27,0.01171875,Monday,8:40:00 AM,,,,,,,,,
9/23/2025 2:45,104-08?,2:45:00 AM,9/22/2025,104.27,0.01171875,Monday,8:45:00 AM,,,,,,,,,
9/23/2025 2:50,104-08?,2:50:00 AM,9/22/2025,104.27,0.01171875,Monday,8:50:00 AM,,,,,,,,,
9/23/2025 2:55,104-08?,2:55:00 AM,9/22/2025,104.27,0.01171875,Monday,8:55:00 AM,,,,,,,,,
9/23/2025 3:00,104-08+,3:00:00 AM,9/22/2025,104.27,0.0078125,Monday,9:00:00 AM,,,,,,,,,
9/23/2025 3:05,104-08?,3:05:00 AM,9/22/2025,104.26,0.00390625,Monday,9:05:00 AM,,,,,,,,,
9/23/2025 3:10,104-08?,3:10:00 AM,9/22/2025,104.26,0.00390625,Monday,9:10:00 AM,,,,,,,,,
9/23/2025 3:15,104-08?,3:15:00 AM,9/22/2025,104.26,0.00390625,Monday,9:15:00 AM,,,,,,,,,
9/23/2025 3:20,104-08?,3:20:00 AM,9/22/2025,104.26,0.00390625,Monday,9:20:00 AM,,,,,,,,,
9/23/2025 3:25,104-08¼,3:25:00 AM,9/22/2025,104.26,0,Monday,9:25:00 AM,,,,,,,,,
9/23/2025 3:30,104-08¼,3:30:00 AM,9/22/2025,104.26,0,Monday,9:30:00 AM,,,,,,,,,
9/23/2025 3:35,104-08?,3:35:00 AM,9/22/2025,104.25,-0.00390625,Monday,9:35:00 AM,,,,,,,,,
9/23/2025 3:40,104-08?,3:40:00 AM,9/22/2025,104.25,-0.00390625,Monday,9:40:00 AM,,,,,,,,,
9/23/2025 3:45,104-08?,3:45:00 AM,9/22/2025,104.25,-0.00390625,Monday,9:45:00 AM,,,,,,,,,
9/23/2025 3:50,104-08?,3:50:00 AM,9/22/2025,104.26,0.00390625,Monday,9:50:00 AM,,,,,,,,,
9/23/2025 3:55,104-08?,3:55:00 AM,9/22/2025,104.26,0.00390625,Monday,9:55:00 AM,,,,,,,,,
9/23/2025 4:00,104-08¼,4:00:00 AM,9/22/2025,104.26,0,Monday,10:00:00 AM,,,,,,,,,
9/23/2025 4:05,104-08?,4:05:00 AM,9/22/2025,104.26,0.00390625,Monday,10:05:00 AM,,,,,,,,,
9/23/2025 4:10,104-08?,4:10:00 AM,9/22/2025,104.26,0.00390625,Monday,10:10:00 AM,,,,,,,,,
9/23/2025 4:15,104-08+,4:15:00 AM,9/22/2025,104.27,0.0078125,Monday,10:15:00 AM,,,,,,,,,
9/23/2025 4:20,104-08+,4:20:00 AM,9/22/2025,104.27,0.0078125,Monday,10:20:00 AM,,,,,,,,,
9/23/2025 4:25,104-08+,4:25:00 AM,9/22/2025,104.27,0.0078125,Monday,10:25:00 AM,,,,,,,,,
9/23/2025 4:30,104-08?,4:30:00 AM,9/22/2025,104.27,0.01171875,Monday,10:30:00 AM,,,,,,,,,
9/23/2025 4:35,104-08+,4:35:00 AM,9/22/2025,104.27,0.0078125,Monday,10:35:00 AM,,,,,,,,,
9/23/2025 4:40,104-08?,4:40:00 AM,9/22/2025,104.27,0.01171875,Monday,10:40:00 AM,,,,,,,,,
9/23/2025 4:45,104-08?,4:45:00 AM,9/22/2025,104.27,0.01171875,Monday,10:45:00 AM,,,,,,,,,
9/23/2025 4:50,104-08+,4:50:00 AM,9/22/2025,104.27,0.0078125,Monday,10:50:00 AM,,,,,,,,,
9/23/2025 4:55,104-08+,4:55:00 AM,9/22/2025,104.27,0.0078125,Monday,10:55:00 AM,,,,,,,,,
9/23/2025 5:00,104-08?,5:00:00 AM,9/22/2025,104.26,0.00390625,Monday,11:00:00 AM,,,,,,,,,
9/23/2025 5:05,104-08?,5:05:00 AM,9/22/2025,104.26,0.00390625,Monday,11:05:00 AM,,,,,,,,,
9/23/2025 5:10,104-08+,5:10:00 AM,9/22/2025,104.27,0.0078125,Monday,11:10:00 AM,,,,,,,,,
9/23/2025 5:15,104-08?,5:15:00 AM,9/22/2025,104.27,0.01171875,Monday,11:15:00 AM,,,,,,,,,
9/23/2025 5:20,104-08+,5:20:00 AM,9/22/2025,104.27,0.0078125,Monday,11:20:00 AM,,,,,,,,,
9/23/2025 5:25,104-08?,5:25:00 AM,9/22/2025,104.26,0.00390625,Monday,11:25:00 AM,,,,,,,,,
9/23/2025 5:30,104-08+,5:30:00 AM,9/22/2025,104.27,0.0078125,Monday,11:30:00 AM,,,,,,,,,
9/23/2025 5:35,104-08?,5:35:00 AM,9/22/2025,104.27,0.01171875,Monday,11:35:00 AM,,,,,,,,,
9/23/2025 5:40,104-08+,5:40:00 AM,9/22/2025,104.27,0.0078125,Monday,11:40:00 AM,,,,,,,,,
9/23/2025 5:45,104-08?,5:45:00 AM,9/22/2025,104.27,0.01171875,Monday,11:45:00 AM,,,,,,,,,
9/23/2025 5:50,104-08+,5:50:00 AM,9/22/2025,104.27,0.0078125,Monday,11:50:00 AM,,,,,,,,,
9/23/2025 5:55,104-08+,5:55:00 AM,9/22/2025,104.27,0.0078125,Monday,11:55:00 AM,,,,,,,,,
9/23/2025 6:00,104-08?,6:00:00 AM,9/22/2025,104.26,0.00390625,Monday,12:00:00 PM,,,,,,,,,
9/23/2025 6:05,104-08+,6:05:00 AM,9/22/2025,104.27,0.0078125,Monday,12:05:00 PM,,,,,,,,,
9/23/2025 6:10,104-08?,6:10:00 AM,9/22/2025,104.27,0.01171875,Monday,12:10:00 PM,,,,,,,,,
9/23/2025 6:15,104-08+,6:15:00 AM,9/22/2025,104.27,0.0078125,Monday,12:15:00 PM,,,,,,,,,
9/23/2025 6:20,104-08+,6:20:00 AM,9/22/2025,104.27,0.0078125,Monday,12:20:00 PM,,,,,,,,,
9/23/2025 6:25,104-08?,6:25:00 AM,9/22/2025,104.26,0.00390625,Monday,12:25:00 PM,,,,,,,,,
9/23/2025 6:30,104-08¼,6:30:00 AM,9/22/2025,104.26,0,Monday,12:30:00 PM,,,,,,,,,
9/23/2025 6:35,104-08?,6:35:00 AM,9/22/2025,104.26,0.00390625,Monday,12:35:00 PM,,,,,,,,,
9/23/2025 6:40,104-08?,6:40:00 AM,9/22/2025,104.26,0.00390625,Monday,12:40:00 PM,,,,,,,,,
9/23/2025 6:45,104-08+,6:45:00 AM,9/22/2025,104.27,0.0078125,Monday,12:45:00 PM,,,,,,,,,
9/23/2025 6:50,104-08+,6:50:00 AM,9/22/2025,104.27,0.0078125,Monday,12:50:00 PM,,,,,,,,,
9/23/2025 6:55,104-08?,6:55:00 AM,9/22/2025,104.27,0.01171875,Monday,12:55:00 PM,,,,,,,,,
9/23/2025 7:00,104-08+,7:00:00 AM,9/22/2025,104.27,0.0078125,Monday,1:00:00 PM,,,,,,,,,
9/23/2025 7:05,104-08?,7:05:00 AM,9/22/2025,104.27,0.01171875,Monday,1:05:00 PM,,,,,,,,,
9/23/2025 7:10,104-08¼,7:10:00 AM,9/22/2025,104.26,0,Monday,1:10:00 PM,,,,,,,,,
9/23/2025 7:15,104-08?,7:15:00 AM,9/22/2025,104.25,-0.00390625,Monday,1:15:00 PM,,,,,,,,,
9/23/2025 7:20,104-08?,7:20:00 AM,9/22/2025,104.26,0.00390625,Monday,1:20:00 PM,,,,,,,,,
9/23/2025 7:25,104-08?,7:25:00 AM,9/22/2025,104.26,0.00390625,Monday,1:25:00 PM,,,,,,,,,
9/23/2025 7:30,104-08?,7:30:00 AM,9/22/2025,104.26,0.00390625,Monday,1:30:00 PM,,,,,,,,,
9/23/2025 7:35,104-08?,7:35:00 AM,9/22/2025,104.27,0.01171875,Monday,1:35:00 PM,,,,,,,,,
9/23/2025 7:40,104-08+,7:40:00 AM,9/22/2025,104.27,0.0078125,Monday,1:40:00 PM,,,,,,,,,
9/23/2025 7:45,104-08?,7:45:00 AM,9/22/2025,104.27,0.01171875,Monday,1:45:00 PM,,,,,,,,,
9/23/2025 7:50,104-08?,7:50:00 AM,9/22/2025,104.27,0.01171875,Monday,1:50:00 PM,,,,,,,,,
9/23/2025 7:55,104-08¾,7:55:00 AM,9/22/2025,104.27,0.015625,Monday,1:55:00 PM,,,,,,,,,
9/23/2025 8:00,104-08?,8:00:00 AM,9/22/2025,104.27,0.01171875,Monday,2:00:00 PM,,,,,,,,,
9/23/2025 8:05,104-08+,8:05:00 AM,9/22/2025,104.27,0.0078125,Monday,2:05:00 PM,,,,,,,,,
9/23/2025 8:10,104-08?,8:10:00 AM,9/22/2025,104.27,0.01171875,Monday,2:10:00 PM,,,,,,,,,
9/23/2025 8:15,104-08+,8:15:00 AM,9/22/2025,104.27,0.0078125,Monday,2:15:00 PM,,,,,,,,,
9/23/2025 8:20,104-08?,8:20:00 AM,9/22/2025,104.26,0.00390625,Monday,2:20:00 PM,,,,,,,,,
9/23/2025 8:25,104-08?,8:25:00 AM,9/22/2025,104.26,0.00390625,Monday,2:25:00 PM,,,,,,,,,
9/23/2025 8:30,104-08?,8:30:00 AM,9/22/2025,104.26,0.00390625,Monday,2:30:00 PM,,,,,,,,,
9/23/2025 8:35,104-08?,8:35:00 AM,9/22/2025,104.26,0.00390625,Monday,2:35:00 PM,,,,,,,,,
9/23/2025 8:40,104-08?,8:40:00 AM,9/22/2025,104.26,0.00390625,Monday,2:40:00 PM,,,,,,,,,
9/23/2025 8:45,104-08?,8:45:00 AM,9/22/2025,104.27,0.01171875,Monday,2:45:00 PM,,,,,,,,,
9/23/2025 8:50,104-08?,8:50:00 AM,9/22/2025,104.26,0.00390625,Monday,2:50:00 PM,,,,,,,,,
9/23/2025 8:55,104-08+,8:55:00 AM,9/22/2025,104.27,0.0078125,Monday,2:55:00 PM,,,,,,,,,
9/23/2025 9:00,104-08+,9:00:00 AM,9/22/2025,104.27,0.0078125,Monday,3:00:00 PM,,,,,,,,,
9/23/2025 9:05,104-08?,9:05:00 AM,9/22/2025,104.27,0.01171875,Monday,3:05:00 PM,,,,,,,,,
9/23/2025 9:10,104-08?,9:10:00 AM,9/22/2025,104.27,0.01171875,Monday,3:10:00 PM,,,,,,,,,
9/23/2025 9:15,104-08+,9:15:00 AM,9/22/2025,104.27,0.0078125,Monday,3:15:00 PM,,,,,,,,,
9/23/2025 9:20,104-08?,9:20:00 AM,9/22/2025,104.26,0.00390625,Monday,3:20:00 PM,,,,,,,,,
9/23/2025 9:25,104-08?,9:25:00 AM,9/22/2025,104.26,0.00390625,Monday,3:25:00 PM,,,,,,,,,
9/23/2025 9:30,104-08¼,9:30:00 AM,9/22/2025,104.26,0,Monday,3:30:00 PM,,,,,,,,,
9/23/2025 9:35,104-08¼,9:35:00 AM,9/22/2025,104.26,0,Monday,3:35:00 PM,,,,,,,,,
9/23/2025 9:40,104-08+,9:40:00 AM,9/22/2025,104.27,0.0078125,Monday,3:40:00 PM,,,,,,,,,
9/23/2025 9:45,104-08?,9:45:00 AM,9/22/2025,104.25,-0.00390625,Monday,3:45:00 PM,,,,,,,,,
9/23/2025 9:50,104-08?,9:50:00 AM,9/22/2025,104.25,-0.00390625,Monday,3:50:00 PM,,,,,,,,,
9/23/2025 9:55,104-08¼,9:55:00 AM,9/22/2025,104.26,0,Monday,3:55:00 PM,,,,,,,,,
9/23/2025 10:00,104-08?,10:00:00 AM,9/22/2025,104.25,-0.00390625,Monday,4:00:00 PM,,,,,,,,,
9/23/2025 10:05,104-08¼,10:05:00 AM,9/22/2025,104.26,0,Monday,4:05:00 PM,,,,,,,,,
9/23/2025 10:10,104-08,10:10:00 AM,9/22/2025,104.25,-0.0078125,Monday,4:10:00 PM,,,,,,,,,
9/23/2025 10:15,104-08,10:15:00 AM,9/22/2025,104.25,-0.0078125,Monday,4:15:00 PM,,,,,,,,,
9/23/2025 10:20,104-07?,10:20:00 AM,9/22/2025,104.24,-0.01953125,Monday,4:20:00 PM,,,,,,,,,
9/23/2025 10:25,104-07?,10:25:00 AM,9/22/2025,104.24,-0.01953125,Monday,4:25:00 PM,,,,,,,,,
9/23/2025 10:30,104-07?,10:30:00 AM,9/22/2025,104.25,-0.01171875,Monday,4:30:00 PM,,,,,,,,,
9/23/2025 10:35,104-07¾,10:35:00 AM,9/22/2025,104.24,-0.015625,Monday,4:35:00 PM,,,,,,,,,
9/23/2025 10:40,104-07?,10:40:00 AM,9/22/2025,104.25,-0.01171875,Monday,4:40:00 PM,,,,,,,,,
9/23/2025 10:45,104-07?,10:45:00 AM,9/22/2025,104.24,-0.01953125,Monday,4:45:00 PM,,,,,,,,,
9/23/2025 10:50,104-07¾,10:50:00 AM,9/22/2025,104.24,-0.015625,Monday,4:50:00 PM,,,,,,,,,
9/23/2025 10:55,104-07¾,10:55:00 AM,9/22/2025,104.24,-0.015625,Monday,4:55:00 PM,,,,,,,,,
9/23/2025 11:00,104-07?,11:00:00 AM,9/22/2025,104.24,-0.01953125,Monday,5:00:00 PM,,,,,,,,,
9/23/2025 11:05,104-07¾,11:05:00 AM,9/22/2025,104.24,-0.015625,Monday,5:05:00 PM,,,,,,,,,
9/23/2025 11:10,104-08?,11:10:00 AM,9/22/2025,104.25,-0.00390625,Monday,5:10:00 PM,,,,,,,,,
9/23/2025 11:15,104-08,11:15:00 AM,9/22/2025,104.25,-0.0078125,Monday,5:15:00 PM,,,,,,,,,
9/23/2025 11:20,104-08,11:20:00 AM,9/22/2025,104.25,-0.0078125,Monday,5:20:00 PM,,,,,,,,,
9/23/2025 11:25,104-07?,11:25:00 AM,9/22/2025,104.25,-0.01171875,Monday,5:25:00 PM,,,,,,,,,
9/23/2025 11:30,104-07?,11:30:00 AM,9/22/2025,104.25,-0.01171875,Monday,5:30:00 PM,,,,,,,,,
9/23/2025 11:35,104-07?,11:35:00 AM,9/22/2025,104.25,-0.01171875,Monday,5:35:00 PM,,,,,,,,,
9/23/2025 11:40,104-08?,11:40:00 AM,9/22/2025,104.26,0.00390625,Monday,5:40:00 PM,,,,,,,,,
9/23/2025 11:45,104-08?,11:45:00 AM,9/22/2025,104.25,-0.00390625,Monday,5:45:00 PM,,,,,,,,,
9/23/2025 11:50,104-08¼,11:50:00 AM,9/22/2025,104.26,0,Monday,5:50:00 PM,,,,,,,,,
9/23/2025 11:55,104-08+,11:55:00 AM,9/22/2025,104.27,0.0078125,Monday,5:55:00 PM,,,,,,,,,
9/23/2025 12:00,104-08?,12:00:00 PM,9/22/2025,104.26,0.00390625,Monday,6:00:00 PM,,,,,,,,,
9/23/2025 12:05,104-08¼,12:05:00 PM,9/22/2025,104.26,0,Monday,6:05:00 PM,,,,,,,,,
9/23/2025 12:10,104-08?,12:10:00 PM,9/22/2025,104.26,0.00390625,Monday,6:10:00 PM,,,,,,,,,
9/23/2025 12:15,104-08¾,12:15:00 PM,9/22/2025,104.27,0.015625,Monday,6:15:00 PM,,,,,,,,,
9/23/2025 12:20,104-08¾,12:20:00 PM,9/22/2025,104.27,0.015625,Monday,6:20:00 PM,,,,,,,,,
9/23/2025 12:25,104-08?,12:25:00 PM,9/22/2025,104.28,0.01953125,Monday,6:25:00 PM,,,,,,,,,
9/23/2025 12:30,104-08?,12:30:00 PM,9/22/2025,104.27,0.01171875,Monday,6:30:00 PM,,,,,,,,,
9/23/2025 12:35,104-08+,12:35:00 PM,9/22/2025,104.27,0.0078125,Monday,6:35:00 PM,,,,,,,,,
9/23/2025 12:40,104-08?,12:40:00 PM,9/22/2025,104.26,0.00390625,Monday,6:40:00 PM,,,,,,,,,
9/23/2025 12:45,104-08+,12:45:00 PM,9/22/2025,104.27,0.0078125,Monday,6:45:00 PM,,,,,,,,,
9/23/2025 12:50,104-08¾,12:50:00 PM,9/22/2025,104.27,0.015625,Monday,6:50:00 PM,,,,,,,,,
9/23/2025 12:55,104-08+,12:55:00 PM,9/22/2025,104.27,0.0078125,Monday,6:55:00 PM,,,,,,,,,
9/23/2025 13:00,104-08?,1:00:00 PM,9/22/2025,104.27,0.01171875,Monday,7:00:00 PM,,,,,,,,,
9/23/2025 13:05,104-08+,1:05:00 PM,9/22/2025,104.27,0.0078125,Monday,7:05:00 PM,,,,,,,,,
9/23/2025 13:10,104-08?,1:10:00 PM,9/22/2025,104.26,0.00390625,Monday,7:10:00 PM,,,,,,,,,
9/23/2025 13:15,104-08+,1:15:00 PM,9/22/2025,104.27,0.0078125,Monday,7:15:00 PM,,,,,,,,,
9/23/2025 13:20,104-08?,1:20:00 PM,9/22/2025,104.26,0.00390625,Monday,7:20:00 PM,,,,,,,,,
9/23/2025 13:25,104-08+,1:25:00 PM,9/22/2025,104.27,0.0078125,Monday,7:25:00 PM,,,,,,,,,
